Question,Content
How do I make caper pancakes?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 200g of fresh capers 200ml of low-fat milk 150g of flour 2 eggs oil in spray salt to taste. procedure: mix the eggs with milk, flour and salt, add the capers, mix and with a ladle pour the mixture into the oiled fryer to cook the pancakes at 180 degrees for 3-4 minutes. pour into plates, season with salt and serve. Enjoy your meal! nutrients: fat 10, fiber 10, carbohydrates 12, protein 6, calories 260"
Can you walk me through prepare What is the best way to cook avocado toast?,"preparation time: 3 minutes cooking time: 3 minutes portions: 2 ingredients: 2 slices of bread, cut in half into a triangle ½ avocado, peeled and mashed with a fork 2 slices of avocado, cut in half juice of ¼ lemon 100g of smoked salmon procedure: preheat your air fryer to 180 degrees, and cook the bread for 3 minutes. in the meantime, mix the mashed avocado and lemon. spread the avocado on the bruschetta, add a slice of salmon and half a slice of avocado to decorate and serve. Enjoy your meal! nutrients: fat 8, fiber 10, carbohydrates 12, protein 6, calories 200"
How do you cook green beans?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: 350 gr. of canned green beans, cut in half salt and black pepper to taste juice of ½ lemon 40g of almonds 1 tablespoon of olive oil procedure: toast the almonds for 4 minutes at 180 degrees. mix the green beans with the toasted almonds, oil, lemon, salt and pepper and serve. Enjoy your meal! nutrients: fat 3, fiber 6, carbohydrates 7, protein 4, calories 152"
How would you recommend prepare How do you cook crostini with mortadella cream and pistachios?,"preparation time: 6 minutes cooking time: 3 minutes portions: 4 ingredients: 8 crackers 70g of spreadable cheese 100g of mortadella 60g of liquid cooking cream a handful of shelled and chopped pistachios salt and pepper to taste procedure: chop with the mixer mortadella, cheese and cream. in the meantime, toast the pistachio in the fryer at 180 degrees for 3 minutes. spread the cream on the crackers, add the pistachio on top and serve. Enjoy your meal! nutrients: fat 19, fiber 10, carbohydrates 22, proteins 17, calories 332"
How do you cook a savory fruit salad?,"preparation time: 5 minutes cooking time: 2 minutes portions: 6 ingredients: 1 stick of celery, roughly chopped 1 apple, cored and cut into medium cubes 70g flaked almonds 200ml cranberry juice procedure: toast the almonds for 2 minutes at 180 degrees. in the meantime, mix all the other ingredients in a bowl. add the almonds, mix and serve. Enjoy your meal! nutrients: fat 2, fiber 6, carbohydrates 8, protein 3, calories 175"
What is required to prepare How do you cook crostini?,"preparation time: 4 minutes cooking time: 3 minutes portions: 4 ingredients: 4 slices of rye bread 200g light ricotta a handful of dried tomatoes, finely chopped 1 teaspoon chilli powder ½ teaspoon garlic powder salt and pepper to taste procedure: toast the bread at 180 degrees in the air fryer for 3 minutes. in the meantime, mix ricotta, dried tomatoes, chilli, garlic, salt and pepper in a bowl. spread the cream on the croutons and serve. Enjoy your meal! nutrients: fat 2, fiber 8, carbohydrates 12, protein 4, calories 230"
How might I cook cheesy cauliflower?,"preparation time: 3 minutes cooking time: 7 minutes portions: 3 ingredients: 1 cauliflower, cut into florets 50g of gorgonzola 50g of grated parmesan 50g of fontina oil in spray salt and pepper to taste procedure: mix the cauliflowers with the cheeses and cook in the oiled fryer at 160 degrees for 7 minutes, pour onto plates, season with salt and pepper and serve. Enjoy your meal! nutrients: fat 9, fiber 6, carbohydrates 9, protein 4, calories 230"
Could you provide a step-by-step guide to prepare What is the best way to cook salted almonds?,"preparation time: 2 minutes cooking time: 4 minutes portions: 4 ingredients: 200g whole almonds, shelled 1 teaspoon smoked paprika, chopped thyme and rosemary and salt to taste. procedure: mix all the ingredients and toast at 180 degrees for 3-4 minutes. place in a bowl and serve. Enjoy your meal! nutrients: fat 7, fiber 6, carbohydrates 20, proteins 17, calories 300"
How do I cook cucumber salad?,"preparation time: 4 minutes cooking time: 3 minutes portions: 4 ingredients: 2 cucumbers, cut into very thin strips (like “spaghetti”) 2 tablespoons of garlic-free pesto a handful of chopped pistachios juice of ¼ lemon oil in spray procedure: mix the courgettes, pesto, pistachio, lemon juice and coriander well and place in the oiled fryer at 180 degrees to cook for 4 minutes. place in a bowl and serve. Enjoy your meal! nutrients: fat 3, fiber 7, carbohydrates 8, protein 4, calories 140"
How do I cook nduja pâté for crostini?,"preparation time: 3 minutes cooking time: 4 minutes portions: 4 ingredients: 250g of nduja 100g of pitted black olives thyme, salt and pepper to taste spray oil procedure: blend the nduja, olives, thyme, salt and pepper in the blender . Cook the cream at 140 degrees in the oiled fryer for 4 minutes. serve with croutons. Enjoy your meal! nutrients: fat 14, fiber 7, carbohydrates 15, protein 3, calories 291"
Could you outline a recipe for prepare How do you cook aubergine chips?,"preparation time: 3 minutes cooking time: 5 minutes portions: 4 ingredients: oil spray 1 aubergine, peeled and cut into thin ""chips"" (long, thin sticks) 2 tablespoons of milk 1 beaten egg 300g of breadcrumbs (better than (like panko) 60g of grated cheese a pinch of salt and black pepper to taste procedure: in a bowl mix the egg with the milk, salt and pepper. in another bowl, mix the breadcrumbs with the cheese. dip the aubergine chips in the egg mix, then cover them in the bread mix, place them in the oiled air fryer and cook at 200 degrees for 5 minutes. Divide between plates and serve as a side dish. Enjoy your meal! nutrients: fat 10, fiber 5, carbohydrates 10, protein 6, calories 262"
How do you cook fried tomatoes?,"preparation time: 4 minutes cooking time: 5 minutes portions: 4 ingredients: 2 green tomatoes, sliced ​​salt and black pepper to taste 60g flour 200g buttermilk 150g breadcrumbs ½ tablespoon Creole seasoning (white pepper, black pepper , green pepper, pink pepper and allspice) oil spray procedure: season the tomato with salt and pepper. add the flour to one bowl, the buttermilk to another, and the breadcrumbs and Creole seasoning to a third. Place the tomato slices in the flour, then in the buttermilk and breadcrumbs and cook them for 5 minutes in the oiled fryer at 200 degrees. Divide between plates and serve as a side dish. Enjoy your meal! nutrients: fat 12, fiber 7, carbohydrates 13, protein 4, calories 224"
How would you recommend cook chicken pitas?,"preparation time: 2 minutes cooking time: 6 minutes portions: 4 ingredients: 4 pitas 1 tablespoon olive oil 200ml tomato sauce 150g chicken breast in thin strips oregano, salt and pepper to taste. ½ teaspoon basil, dried 1 onion, chopped 300g mozzarella, grated 150g cherry tomatoes, sliced ​​procedure: Spread the tomato sauce on each pita, sprinkle the basil and top with the cheese. arrange the pitas in your air fryer and leave them at 160 degrees for 6 minutes. in the meantime, cook the chicken and onion in a pan with oregano, salt and pepper for 5-6 minutes. add the tomato slices and chicken to each pita, divide between plates and serve. Enjoy your meal! nutrients: fat 4, fiber 6, carbohydrates 7, protein 3, calories 200"
What’s the procedure to prepare How do you cook fennel and orange salad?,"preparation time: 5 minutes cooking time: 3 minutes portions: 4 ingredients: 800g fennel, roughly chopped juice of 1 orange + 1 orange cut into slices 50g pine nuts 1 tablespoon pumpkin seeds 1 teaspoon apple cider vinegar oil, salt and pepper to taste procedure: toast the pine nuts in the fryer at 180 degrees for 3 minutes. in the meantime, mix the orange juice with the vinegar, oil, salt and pepper. put the fennel and orange in a bowl, add the toasted pine nuts and the juice and mix, then serve. Enjoy your meal! nutrients: fat 3, fiber 3, carbohydrates 12, protein 4, calories 200"
How do I successfully cook artichokes in Giudia style?,"preparation time: 1 minute cooking time: 7 minutes portions: 4 ingredients: 4 heads of large artichokes (preferably violets) seed oil in spray salt to taste procedure: gently beat the artichokes on the table, so that the leaves open Well. in the meantime, oil the fryer and heat it to 160 degrees, then put the artichokes to cook for 7 minutes. place the artichokes on a plate with absorbent paper, add salt and serve on plates. Enjoy your meal! nutrients: fat 9, fiber 9, carbohydrates 10, proteins 12, calories 251"
What’s involved in cook sweet and sour onions?,"preparation time: 4 minutes cooking time: 7 minutes portions: 3 ingredients: 300g of spring onions (better borettane) 50g of balsamic vinegar 100g of honey a pinch of salt procedure: mix all the ingredients together and pour them into the fryer at 160 degrees, to cook for 7 minutes. pour onto plates and serve. Enjoy your meal! nutrients: fat 8, fiber 8, carbohydrates 15, proteins 10, calories 260"
What is required to cook a mango and tomato salad?,"preparation time: 5 minutes cooking time: 4 minutes portions: 4 ingredients: 80g rocket 200g tomatoes, diced 1 avocado, peeled and diced a handful of pumpkin seeds + 1 tablespoon chopped pistachio oil, salt and pepper to taste. Procedure: toast the pumpkin seeds and pistachios at 180 degrees for 4 minutes. in the meantime, mix the rocket, tomato, avocado in the bowl and season with oil, salt and pepper. add the toasted seeds, mix and serve. Enjoy your meal! nutrients: fat 8, fiber 4, carbohydrates 14, protein 4, calories 250"
Could you explain how to prepare What is the best way to cook zucchini meatballs?,"preparation time: 4 minutes cooking time: 5 minutes portions: 2 ingredients: 1 courgette, peeled, cooked and chopped with the mixer 1 egg 2 tablespoons grated cheese 2 tablespoons breadcrumbs salt, pepper and aromatic herbs to taste oil spray procedure: mix all the ingredients well and form balls with the mixture (you can add breadcrumbs to make them more compact), place the balls in the oiled fryer and preheated to 180 degrees and cook for 5 minutes. pour onto plates and serve. Enjoy your meal! nutrients: fat 9, fiber 7, carbohydrates 14, protein 5, calories 250"
What is the best way to cook pumpkin side dish?,"preparation time: 3 minutes cooking time: 7 minutes portions: 4 ingredients: 800g pumpkin, peeled and cut into cubes 100ml white wine 1 teaspoon garlic powder 1 sprig of rosemary oil spray salt and pepper to taste. procedure: oil the fryer, heat it to 160 degrees and cook the pumpkin for 7 minutes, adding garlic, rosemary, salt and pepper halfway through cooking. pour into a bowl and serve. Enjoy your meal! nutrients: fat 11, fiber 8, carbohydrates 11, protein 10, calories 210"
What is the best way to cook a salad with pears?,"preparation time: 3 minutes cooking time: 4 minutes portions: 4 ingredients: 100g of rocket 2 pears, peeled and cut into cubes 100g of parmesan flakes a handful of dried fruit (walnuts, almonds, hazelnuts) oil, salt, pepper and vinegar to taste. Procedure: toast the dried fruit at 180 degrees for 4 minutes. in the meantime, mix the rocket, pears, parmesan and seasoning in a bowl. add the toasted fruit, mix and serve. Enjoy your meal! nutrients: fat 8, fiber 11, carbohydrates 12, proteins 4, calories 200"
How do I cook fried mushrooms?,"preparation time: 5 minutes cooking time: 3 minutes portions: 2 ingredients: 250g of fresh champignon mushrooms, cut in half 70g of 00 flour 70g of breadcrumbs 90ml of water oil in spray salt to taste procedure: mix flour and water in a bowl and immerse the mushrooms in it. in a second bowl, place the breadcrumbs and immerse the battered mushrooms. Place the mushrooms in the oiled fryer heated to 180 degrees to cook them for 3 minutes. serve seasoned with salt. Enjoy your meal! nutrients: fat 10, fiber 8, carbohydrates 10, protein 6, calories 280"
